AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG1216+069,SDSSJ121807.19+055549.9,x,"('184.83708', '6.64389')","(184.53, 5.93055)",416.471268825,x,2183.5,-280.5,30.75404531,x,5.9,2.3,66.4,112.0,88.8,88.8,0,x,x,x,x,0.006291
PG1216+069,VCC0274,x,"('184.83708', '6.64389')","(184.54597, 5.93236)",364.711867267,x,1931.5,-28.5,27.20481055,x,5.7,2.3,66.2,x,x,x,0,x,x,x,BCD?,0.00545
PG1216+069,VCC0297,x,"('184.83708', '6.64389')","(184.66095, 6.70838)",105.27736697,x,2297.0,-394.0,32.35256296,x,10.9,3.5,71.3,160.0,49.8,49.8,0,x,x,x,Sc (on edge),0.006668
PG1216+069,VCC0315,x,"('184.83708', '6.64389')","(184.75228, 6.09461)",259.778686184,x,1901.7,1.3,26.78426695,x,6.1,3.6,54.5,75.0,66.3,66.3,0,x,x,x,SBa(s),0.005349
PG1216+069,VCC0321,x,"('184.83708', '6.64389')","(184.77479, 5.73894)",339.917811904,x,1524.5,378.5,21.47125882,x,2.8,1.1,66.4,x,x,x,0,x,x,x,dE6,0.004093
PG1216+069,VCC0329,x,"('184.83708', '6.64389')","(184.80745, 5.98591)",310.801101623,x,1919.6,-16.6,27.03696335,x,5.6,2.5,63.9,x,x,x,VCC329,.I?....,64.1,-99,I?,0.00541
PG1216+069,SDSSJ121913.80+055913.0,x,"('184.83708', '6.64389')","(184.8075, 5.98694)",308.698067405,x,1909.6,-6.6,26.8961276,x,3.2,3.1,18.2,87.0,84.4,84.4,VCC329,.I?....,64.1,-99,x,0.005378
PG1216+069,VCC0340,x,"('184.83708', '6.64389')","(184.84219, 5.91047)",324.99546449,x,1802.6,100.4,25.388484,x,6.7,2.7,66.4,160.0,19.6,19.6,VCC340,.......,51.9,-99,BCD or merger  HII,0.00502
PG1216+069,NGC4260,x,"('184.83708', '6.64389')","(184.84267, 6.09868)",384.454625312,x,2255.7,-352.7,40.4,x,36.6,17.6,61.3,45.0,45.6,45.6,NGC4260,.SBS1..,59.9,58.0,SB(s)a;Sy      LINER,0.006531
PG1216+069,VCC0346,x,"('184.83708', '6.64389')","(184.84925, 6.23303)",220.047286737,x,2177.8,-274.8,30.67303452,x,5.5,3.7,47.9,41.0,42.7,42.7,0,x,x,x,"dE5,N",0.006271
PG1216+069,SDSSJ121928.51+061622.6,x,"('184.83708', '6.64389')","(184.86879, 6.27294)",166.815962845,x,1822.8,80.2,25.67342396,x,4.5,1.3,73.1,1.0,5.9,5.9,0,x,x,x,x,0.005087
PG1216+069,NGC4266,x,"('184.83708', '6.64389')","(184.92623, 5.53828)",499.871360083,x,1833.4,69.6,25.82185709,x,15.0,3.0,78.5,x,80.6,80.6,NGC4266,.SBS1$/,77.9,76.0,SB(s)a? sp     LINER,0.005124
PG1216+069,VCC0379,x,"('184.83708', '6.64389')","(184.96573, 5.99919)",284.304353512,x,1759.7,143.3,24.7839351,x,6.4,2.3,68.9,x,x,x,0,x,x,x,x,0.004877
PG1216+069,SDSSJ122030.92+063823.7,x,"('184.83708', '6.64389')","(185.12886, 6.63994)",127.829140468,x,1794.1,108.9,25.26860606,x,2.8,1.7,52.4,110.0,19.2,19.2,0,x,x,x,x,0.004991
PG1216+069,[DS96]1218+0615,x,"('184.83708', '6.64389')","(185.20383, 5.98175)",381.953282123,x,2055.7,-152.7,28.95329815,x,x,x,x,x,x,x,0,x,x,x,x,0.005864
PG1216+069,SDSSJ122048.92+055854.4,x,"('184.83708', '6.64389')","(185.20388, 5.98178)",389.755838914,x,2097.7,-194.7,29.54484781,x,5.0,2.5,60.0,61.0,89.8,89.8,0,x,x,x,x,0.006003
PG1216+069,UGC07423,x,"('184.83708', '6.64389')","(185.4815, 6.45061)",410.854282179,x,1554.0,349.0,35.200001,x,13.0,7.7,53.8,5.0,78.2,78.2,UGC7423,.S..9*.,53.9,5.0,Sm:            HII,0.00419
PG1216+069,IC3229,x,"('184.83708', '6.64389')","(185.72, 6.67987)",396.595450388,x,1838.2,64.8,25.88964703,x,4.1,2.6,50.2,20.0,67.7,67.7,IC3229,.S..4..,74.0,47.0,Sbc,0.005137
PG1216+069,NGC4339,x,"('184.83708', '6.64389')","(185.89562, 6.08175)",365.71033515,x,1586.8,316.2,17.567,x,12.8,11.5,25.8,50.0,68.1,68.1,NGC4339,.E.0...,17.3,-99,E0             Sy2,0.0043
PG1216+069,IC3259,x,"('184.83708', '6.64389')","(185.95218, 7.18684)",457.285663367,x,1704.5,198.5,21.25,x,11.3,4.9,64.3,x,48.9,48.9,IC3259,.SXS8$.,56.7,15.0,SAB(s)dm?      HII,0.004689
PG1216+069,IC3267,x,"('184.83708', '6.64389')","(186.02303, 7.04128)",467.219075815,x,1529.4,373.6,21.54069846,x,7.3,6.8,21.3,x,x,x,IC3267,.SAS6..,12.2,-99,SA(s)cd        HII,0.004106
