AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG1216+069,VCC0223,x,"('184.83708', '6.64389')","(184.29461, 6.4318)",337.1096536648489,x,2367.8,33.34924824,x,2.9,2.3,36.9,80.0,x,x,VCC223,.......,37.4,-99,BCD?,0.006905
PG1216+069,SDSSJ121807.19+055549.9,x,"('184.83708', '6.64389')","(184.53, 5.93055)",416.47126882525407,x,2183.5,30.75404531,x,5.9,2.3,66.4,112.0,x,x,0,x,x,x,x,0.006291
PG1216+069,VCC0274,x,"('184.83708', '6.64389')","(184.54597, 5.93236)",364.7118672672109,x,1931.5,27.20481055,x,5.7,2.3,66.2,x,x,x,0,x,x,x,BCD?,0.00545
PG1216+069,VCC0287,x,"('184.83708', '6.64389')","(184.61884, 6.40576)",187.77427153393955,x,2371.8,33.40630833,x,6.6,5.0,40.5,144.0,x,x,0,x,x,x,"dE4,N:",0.006918
PG1216+069,VCC0297,x,"('184.83708', '6.64389')","(184.66095, 6.70838)",105.27736696952735,x,2297.0,32.35256296,x,10.9,3.5,71.3,160.0,x,x,0,x,x,x,Sc (on edge),0.006668
PG1216+069,VCC0315,x,"('184.83708', '6.64389')","(184.75228, 6.09461)",259.7786861844361,x,1901.7,26.78426695,x,6.1,3.6,54.5,75.0,x,x,0,x,x,x,SBa(s),0.005349
PG1216+069,VCC0321,x,"('184.83708', '6.64389')","(184.77479, 5.73894)",339.9178119044026,x,1524.5,21.47125882,x,2.8,1.1,66.4,x,x,x,0,x,x,x,dE6,0.004093
PG1216+069,VCC0329,x,"('184.83708', '6.64389')","(184.80745, 5.98591)",310.801101623422,x,1919.6,27.03696335,x,5.6,2.5,63.9,x,x,x,VCC329,.I?....,64.1,-99,I?,0.00541
PG1216+069,SDSSJ121913.80+055913.0,x,"('184.83708', '6.64389')","(184.8075, 5.98694)",308.69806740500815,x,1909.6,26.8961276,x,3.2,3.1,18.2,87.0,x,x,VCC329,.I?....,64.1,-99,x,0.005378
PG1216+069,VCC0340,x,"('184.83708', '6.64389')","(184.84219, 5.91047)",324.9954644904329,x,1802.6,25.388484,x,6.7,2.7,66.4,160.0,x,x,VCC340,.......,51.9,-99,BCD or merger  HII,0.00502
PG1216+069,NGC4260,x,"('184.83708', '6.64389')","(184.84267, 6.09868)",384.45462531207477,x,2255.7,40.4,x,36.6,17.6,61.3,45.0,x,x,NGC4260,.SBS1..,59.9,58.0,SB(s)a;Sy      LINER,0.006531
PG1216+069,VCC0344,x,"('184.83708', '6.64389')","(184.84617, 5.79483)",489.1572618370617,x,2343.5,33.00716023,x,9.2,9.1,11.5,95.0,x,x,0,x,x,x,cE2,0.006824
PG1216+069,VCC0346,x,"('184.83708', '6.64389')","(184.84925, 6.23303)",220.04728673685645,x,2177.8,30.67303452,x,5.5,3.7,47.9,41.0,x,x,0,x,x,x,"dE5,N",0.006271
PG1216+069,SDSSJ121928.51+061622.6,x,"('184.83708', '6.64389')","(184.86879, 6.27294)",166.81596284468563,x,1822.8,25.67342396,x,4.5,1.3,73.1,1.0,x,x,0,x,x,x,x,0.005087
PG1216+069,NGC4266,x,"('184.83708', '6.64389')","(184.92623, 5.53828)",499.87136008302883,x,1833.4,25.82185709,x,15.0,3.0,78.5,x,x,x,NGC4266,.SBS1$/,77.9,76.0,SB(s)a? sp     LINER,0.005124
PG1216+069,NGC4269,x,"('184.83708', '6.64389')","(184.95496, 6.01497)",372.97199512151326,x,2371.7,33.40376932,x,12.4,11.1,25.8,135.0,x,x,NGC4269,.L..+..,47.5,137.0,S0+,0.006918
PG1216+069,VCC0379,x,"('184.83708', '6.64389')","(184.96573, 5.99919)",284.30435351159775,x,1759.7,24.7839351,x,6.4,2.3,68.9,x,x,x,0,x,x,x,x,0.004877
PG1216+069,SDSSJ121953.72+060156.4,x,"('184.83708', '6.64389')","(184.97386, 6.03234)",357.2340395541254,x,2319.7,32.671572,x,4.4,2.4,57.3,48.0,x,x,0,x,x,x,x,0.006746
PG1216+069,VCC0405,x,"('184.83708', '6.64389')","(185.07568, 5.99923)",404.34926614126243,x,2394.7,33.72783918,x,1.8,1.8,0.0,x,x,x,0,x,x,x,dE0:,0.006995
PG1216+069,SDSSJ122030.92+063823.7,x,"('184.83708', '6.64389')","(185.12886, 6.63994)",127.82914046790167,x,1794.1,25.26860606,x,2.8,1.7,52.4,110.0,x,x,0,x,x,x,x,0.004991
PG1216+069,[DS96]1218+0615,x,"('184.83708', '6.64389')","(185.20383, 5.98175)",381.9532821231195,x,2055.7,28.95329815,x,x,x,x,x,x,x,0,x,x,x,x,0.005864
PG1216+069,SDSSJ122048.92+055854.4,x,"('184.83708', '6.64389')","(185.20388, 5.98178)",389.7558389143344,x,2097.7,29.54484781,x,5.0,2.5,60.0,61.0,x,x,0,x,x,x,x,0.006003
PG1216+069,UGC07423,x,"('184.83708', '6.64389')","(185.4815, 6.45061)",410.8542821789323,x,1554.0,35.200001,x,13.0,7.7,53.8,5.0,x,x,UGC7423,.S..9*.,53.9,5.0,Sm:            HII,0.00419
PG1216+069,IC3229,x,"('184.83708', '6.64389')","(185.72, 6.67987)",396.59545038837626,x,1838.2,25.88964703,x,4.1,2.6,50.2,20.0,x,x,IC3229,.S..4..,74.0,47.0,Sbc,0.005137
PG1216+069,VCC0632,x,"('184.83708', '6.64389')","(185.83326, 7.06813)",380.5298754088558,x,1438.4,20.25900912,x,3.3,2.4,42.3,37.0,x,x,0,x,x,x,"dE3,N",0.003804
PG1216+069,NGC4339,x,"('184.83708', '6.64389')","(185.89562, 6.08175)",365.71033515035094,x,1586.8,17.567,x,12.8,11.5,25.8,50.0,x,x,NGC4339,.E.0...,17.3,-99,E0             Sy2,0.0043
PG1216+069,IC3259,x,"('184.83708', '6.64389')","(185.95218, 7.18684)",457.2856633666059,x,1704.5,21.25,x,11.3,4.9,64.3,x,x,x,IC3259,.SXS8$.,56.7,15.0,SAB(s)dm?      HII,0.004689
PG1216+069,IC3267,x,"('184.83708', '6.64389')","(186.02303, 7.04128)",467.2190758154645,x,1529.4,21.54069846,x,7.3,6.8,21.3,x,x,x,IC3267,.SAS6..,12.2,-99,SA(s)cd        HII,0.004106
