AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1330.8+3119,1740,SDSSJ133025.22+304141.9,11,"('202.72167', '31.32556')","(202.60509, 30.69498)",2.732444593815462e-75,0.0,25.061655495164096,2.2165288177689004,325.6855514194537,x,2075.2,335.1999999999998,29.22781275,x,1.7,0.8,62.6,105.0,84.0,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.006
RX_J1330.8+3119,1740,RCS05110501446,11,"('202.72167', '31.32556')","(202.22133, 30.36313)",-99,-99,-99,-99,382.4358091093211,x,1476.1,-263.9000000000001,20.79045972,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1740,RCS05110404030,11,"('202.72167', '31.32556')","(202.09577, 30.2643)",-99,-99,-99,-99,431.77284558846776,x,1476.4,-263.5999999999999,20.79457417,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1740,RCS05010503327,11,"('202.72167', '31.32556')","(203.03009, 30.2566)",-99,-99,-99,-99,399.39972840105474,x,1475.3,-264.70000000000005,20.77895933,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1740,RCS05010301764,11,"('202.72167', '31.32556')","(202.79452, 30.34628)",-99,-99,-99,-99,428.274035691433,x,1775.5,35.5,25.00652629,x,x,x,x,x,x,0,x,x,x,x,x,0.005
RX_J1330.8+3119,1740,RCS05001001623,11,"('202.72167', '31.32556')","(202.96681, 30.50041)",-99,-99,-99,-99,308.75857016156897,x,1475.0,-265.0,20.77501726,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1740,RCS05000800442,11,"('202.72167', '31.32556')","(202.62446, 30.43639)",-99,-99,-99,-99,323.93429662475086,x,1475.5,-264.5,20.78219946,x,x,x,x,x,x,0,x,x,x,x,x,0.004
RX_J1330.8+3119,1740,RCS05000703300,11,"('202.72167', '31.32556')","(202.48917, 30.58205)",-99,-99,-99,-99,335.97111390014834,x,1775.5,35.5,25.00678536,x,x,x,x,x,x,0,x,x,x,x,x,0.005
RX_J1330.8+3119,1740,RCS05000401293,11,"('202.72167', '31.32556')","(202.92351, 30.82221)",-99,-99,-99,-99,232.1678143297969,x,1774.6,34.59999999999991,24.99435448,x,x,x,x,x,x,0,x,x,x,x,x,0.005
RX_J1330.8+3119,1740,RCS05000300386,11,"('202.72167', '31.32556')","(202.80183, 30.86133)",-99,-99,-99,-99,239.33237920773877,x,2074.7,334.6999999999998,29.22095564,x,x,x,x,x,x,0,x,x,x,x,x,0.006
RX_J1330.8+3119,1740,RCS05000002133,11,"('202.72167', '31.32556')","(202.36777, 30.77587)",-99,-99,-99,-99,227.66841220044637,x,1475.3,-264.70000000000005,20.77936383,x,x,x,x,x,x,0,x,x,x,x,x,0.004
