AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
RX_J1330.8+3119,SDSSJ133025.22+304141.9,x,"('202.72167', '31.32556')","(202.60509, 30.69498)",4460.011880249676,25.061655495164096,325.6855514194537,x,2075.2,-343.1999999999998,29.22781275,x,1.7,0.8,62.6,105.0,66.0,66.0,0,x,x,x,Extended Src [SDSS],0.006
RX_J1330.8+3119,RCS05000002133,x,"('202.72167', '31.32556')","(202.36777, 30.77587)",x,x,227.66841220044637,x,1475.3,256.70000000000005,20.77936383,x,x,x,x,x,x,x,0,x,x,x,x,0.004
RX_J1330.8+3119,RCS05000300386,x,"('202.72167', '31.32556')","(202.80183, 30.86133)",x,x,239.33237920773877,x,2074.7,-342.6999999999998,29.22095564,x,x,x,x,x,x,x,0,x,x,x,x,0.006
RX_J1330.8+3119,RCS05000401293,x,"('202.72167', '31.32556')","(202.92351, 30.82221)",x,x,232.1678143297969,x,1774.6,-42.59999999999991,24.99435448,x,x,x,x,x,x,x,0,x,x,x,x,0.005
RX_J1330.8+3119,RCS05000703300,x,"('202.72167', '31.32556')","(202.48917, 30.58205)",x,x,335.97111390014834,x,1775.5,-43.5,25.00678536,x,x,x,x,x,x,x,0,x,x,x,x,0.005
RX_J1330.8+3119,RCS05000800442,x,"('202.72167', '31.32556')","(202.62446, 30.43639)",x,x,323.93429662475086,x,1475.5,256.5,20.78219946,x,x,x,x,x,x,x,0,x,x,x,x,0.004
RX_J1330.8+3119,RCS05001001623,x,"('202.72167', '31.32556')","(202.96681, 30.50041)",x,x,308.75857016156897,x,1475.0,257.0,20.77501726,x,x,x,x,x,x,x,0,x,x,x,x,0.004
RX_J1330.8+3119,RCS05010301764,x,"('202.72167', '31.32556')","(202.79452, 30.34628)",x,x,428.274035691433,x,1775.5,-43.5,25.00652629,x,x,x,x,x,x,x,0,x,x,x,x,0.005
RX_J1330.8+3119,RCS05010503327,x,"('202.72167', '31.32556')","(203.03009, 30.2566)",x,x,399.39972840105474,x,1475.3,256.70000000000005,20.77895933,x,x,x,x,x,x,x,0,x,x,x,x,0.004
RX_J1330.8+3119,RCS05110404030,x,"('202.72167', '31.32556')","(202.09577, 30.2643)",x,x,431.77284558846776,x,1476.4,255.5999999999999,20.79457417,x,x,x,x,x,x,x,0,x,x,x,x,0.004
RX_J1330.8+3119,RCS05110501446,x,"('202.72167', '31.32556')","(202.22133, 30.36313)",x,x,382.4358091093211,x,1476.1,255.9000000000001,20.79045972,x,x,x,x,x,x,x,0,x,x,x,x,0.004
