AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
HE1228+0131,CGCG014-054,x,"('187.70833', '1.25583')","(187.7659, 1.6757)",145.764185014457,x,1399.2,19.70682874,x,7.7,4.4,55.2,80.0,x,x,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,0.003686
HE1228+0131,SDSSJ123225.83+002409.3,x,"('187.70833', '1.25583')","(188.10766, 0.40259)",394.08734702395634,x,1701.8,23.968674,x,1.8,1.1,52.4,172.0,x,x,0,x,x,x,x,0.0047
HE1228+0131,2dFGRSN321Z040,x,"('187.70833', '1.25583')","(188.11533, 0.36881)",422.64284142523985,x,1761.7,24.81319044,x,3.4,1.9,56.4,x,x,x,0,x,x,x,x,0.0049
HE1228+0131,NGC4517A,x,"('187.70833', '1.25583')","(188.11732, 0.38967)",379.15426800920557,x,1801.8,22.68,x,26.4,17.2,49.5,x,x,x,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,0.005032
HE1228+0131,SDSSJ123233.64+002417.1,x,"('187.70833', '1.25583')","(188.14018, 0.40475)",364.04619541383,x,1551.8,21.85597782,x,1.9,1.1,55.9,53.0,x,x,0,x,x,x,x,0.0042
HE1228+0131,NGC4517,x,"('187.70833', '1.25583')","(188.18996, 0.11503)",211.0427507491546,x,1420.4,9.765,x,32.8,4.1,82.7,x,x,x,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,0.003764
HE1228+0131,2dFGRSN389Z231,x,"('187.70833', '1.25583')","(188.19354, 1.56867)",258.6635377099614,x,1823.0,25.67647003,x,3.5,1.6,63.5,x,x,x,0,x,x,x,x,0.0051
HE1228+0131,HIPASSJ1233-00,x,"('187.70833', '1.25583')","(188.30542, -0.51444)",468.74669790530686,x,1020.7,14.37565586,x,x,x,x,x,x,x,0,x,x,x,x,0.002431
HE1228+0131,CGCG014-064,x,"('187.70833', '1.25583')","(188.33653, 1.52174)",324.7269624539369,x,1937.0,27.28115478,x,6.8,2.7,66.4,179.0,x,x,CGCG14-64,.S..7?/,-99,-99,Sd? sp,0.00548
HE1228+0131,NGC4600,x,"('187.70833', '1.25583')","(190.09566, 3.11775)",388.1933951787945,x,1147.1,7.3499999,x,3.9,2.2,55.9,65.0,x,x,NGC4600,.L.....,48.6,60.0,"S0(6),N",0.002842
HE1228+0131,UGC07512,x,"('187.70833', '1.25583')","(186.42223, 2.15898)",414.0446321716584,x,1799.7,15.1,x,6.0,2.7,63.3,130.0,x,x,UGC7512,.IBS9..,63.5,130.0,ImIV,0.00502
HE1228+0131,SDSSJ122745.86+013601.8,x,"('187.70833', '1.25583')","(186.9429, 1.60015)",327.1689834369463,x,1586.1,22.34012963,x,x,x,x,x,x,x,0,x,x,x,dIn,0.00431
HE1228+0131,SDSSJ122815.96+014944.1,x,"('187.70833', '1.25583')","(187.0665, 1.82892)",253.42628985981986,x,1198.4,16.87858892,x,3.5,1.8,59.3,40.0,x,x,0,x,x,x,x,0.003015
HE1228+0131,2dFGRSN320Z113,x,"('187.70833', '1.25583')","(187.26608, 0.10381)",434.2279202969169,x,1431.5,20.16197435,x,4.1,3.5,31.0,x,x,x,0,x,x,x,dE,0.0038
